Result,Fighter,KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate
L,Sebastian Szalay,0,0,0,0,79,204,0.3872549019607843,80,205,0.3902439024390244,1,1,1.0,47,150,0.31333333333333335,24,46,0.5217391304347826,8,8,1.0,78,202,0.38613861386138615,1,1,1.0,0,1,0.0
L,Sulangrangbo,0,0,0,14,56,125,0.448,62,131,0.4732824427480916,0,0,0.0,53,116,0.45689655172413796,3,8,0.375,0,1,0.0,52,121,0.4297520661157025,4,4,1.0,0,0,0.0
W,Lawrence Lui,0,0,0,299,52,150,0.3466666666666667,82,181,0.4530386740331492,7,15,0.4666666666666667,41,129,0.3178294573643411,6,16,0.375,5,5,1.0,39,132,0.29545454545454547,6,11,0.5454545454545454,7,7,1.0
W,Justin Gaethje,2,0,0,355,144,254,0.5669291338582677,200,313,0.6389776357827476,3,3,1.0,120,222,0.5405405405405406,15,21,0.7142857142857143,9,11,0.8181818181818182,102,198,0.5151515151515151,20,27,0.7407407407407407,22,29,0.7586206896551724
L,Paddy Pimblett,0,0,0,48,156,311,0.5016077170418006,170,326,0.5214723926380368,0,5,0.0,83,221,0.3755656108597285,48,63,0.7619047619047619,25,27,0.9259259259259259,140,284,0.49295774647887325,16,27,0.5925925925925926,0,0,0.0
W,Sean O'Malley,0,0,0,0,48,92,0.5217391304347826,67,111,0.6036036036036037,0,0,0.0,23,53,0.4339622641509434,16,28,0.5714285714285714,9,11,0.8181818181818182,48,92,0.5217391304347826,0,0,0.0,0,0,0.0
L,Song Yadong,0,0,0,126,36,94,0.3829787234042553,69,130,0.5307692307692308,3,7,0.42857142857142855,15,55,0.2727272727272727,2,6,0.3333333333333333,19,33,0.5757575757575758,36,94,0.3829787234042553,0,0,0.0,0,0,0.0
W,Waldo Cortes Acosta,1,0,0,28,44,62,0.7096774193548387,46,64,0.71875,1,1,1.0,35,53,0.660377358490566,5,5,1.0,4,4,1.0,27,45,0.6,1,1,1.0,16,16,1.0
L,Derrick Lewis,0,0,0,0,8,43,0.18604651162790697,8,43,0.18604651162790697,0,0,0.0,6,37,0.16216216216216217,2,5,0.4,0,1,0.0,8,43,0.18604651162790697,0,0,0.0,0,0,0.0
W,Natalia Silva,0,0,0,84,51,133,0.38345864661654133,63,147,0.42857142857142855,1,2,0.5,25,95,0.2631578947368421,8,14,0.5714285714285714,18,24,0.75,50,132,0.3787878787878788,1,1,1.0,0,0,0.0
L,Rose Namajunas,0,0,0,129,26,94,0.2765957446808511,46,119,0.3865546218487395,1,5,0.2,11,64,0.171875,3,13,0.23076923076923078,12,17,0.7058823529411765,26,92,0.2826086956521739,0,2,0.0,0,0,0.0
L,Arnold Allen,0,0,0,54,56,116,0.4827586206896552,60,121,0.49586776859504134,0,0,0.0,37,86,0.43023255813953487,11,22,0.5,8,8,1.0,53,113,0.4690265486725664,3,3,1.0,0,0,0.0
W,Jean Silva,0,0,0,32,74,136,0.5441176470588235,78,141,0.5531914893617021,4,6,0.6666666666666666,43,103,0.4174757281553398,22,23,0.9565217391304348,9,10,0.9,68,127,0.5354330708661418,6,9,0.6666666666666666,0,0,0.0
W,Umar Nurmagomedov,0,0,0,290,34,72,0.4722222222222222,103,167,0.6167664670658682,2,6,0.3333333333333333,19,50,0.38,11,17,0.6470588235294118,4,5,0.8,28,58,0.4827586206896552,2,3,0.6666666666666666,4,11,0.36363636363636365
L,Deiveson Figueiredo,0,0,0,9,8,27,0.2962962962962963,28,58,0.4827586206896552,0,0,0.0,4,18,0.2222222222222222,4,8,0.5,0,1,0.0,7,26,0.2692307692307692,1,1,1.0,0,0,0.0
W,Ateba Gautier,2,0,0,0,34,112,0.30357142857142855,34,112,0.30357142857142855,0,0,0.0,24,98,0.24489795918367346,9,13,0.6923076923076923,1,1,1.0,30,103,0.2912621359223301,4,9,0.4444444444444444,0,0,0.0
L,Andrey Pulyaev,0,0,0,0,59,123,0.4796747967479675,59,123,0.4796747967479675,0,0,0.0,34,83,0.40963855421686746,19,32,0.59375,6,8,0.75,57,121,0.47107438016528924,2,2,1.0,0,0,0.0
W,Nikita Krylov,1,0,0,157,72,137,0.5255474452554745,94,164,0.573170731707317,1,4,0.25,25,76,0.32894736842105265,22,34,0.6470588235294118,25,27,0.9259259259259259,64,128,0.5,5,6,0.8333333333333334,3,3,1.0
L,Modestas Bukauskas,0,0,0,56,40,108,0.37037037037037035,43,111,0.38738738738738737,0,0,0.0,35,101,0.3465346534653465,2,4,0.5,3,3,1.0,40,108,0.37037037037037035,0,0,0.0,0,0,0.0
W,Alex Perez,2,0,0,14,39,75,0.52,55,94,0.5851063829787234,0,0,0.0,27,60,0.45,9,10,0.9,3,5,0.6,33,67,0.4925373134328358,4,6,0.6666666666666666,2,2,1.0
L,Charles Johnson,0,0,0,0,8,25,0.32,8,25,0.32,0,1,0.0,4,14,0.2857142857142857,3,9,0.3333333333333333,1,2,0.5,8,25,0.32,0,0,0.0,0,0,0.0
W,Josh Hokit,0,0,0,227,37,57,0.6491228070175439,71,97,0.7319587628865979,1,2,0.5,31,48,0.6458333333333334,6,9,0.6666666666666666,0,0,0.0,17,31,0.5483870967741935,9,11,0.8181818181818182,11,15,0.7333333333333333
L,Denzel Freeman,0,0,0,0,0,7,0.0,0,8,0.0,0,1,0.0,0,7,0.0,0,0,0.0,0,0,0.0,0,7,0.0,0,0,0.0,0,0,0.0
L,Adam Fugitt,0,0,0,0,36,73,0.4931506849315068,39,76,0.5131578947368421,0,2,0.0,10,42,0.23809523809523808,21,26,0.8076923076923077,5,5,1.0,30,67,0.44776119402985076,6,6,1.0,0,0,0.0
W,Ty Miller,1,0,0,3,59,121,0.48760330578512395,65,129,0.5038759689922481,0,0,0.0,55,115,0.4782608695652174,4,6,0.6666666666666666,0,0,0.0,55,115,0.4782608695652174,3,4,0.75,1,2,0.5
L,Brandon Royval,0,0,0,0,17,26,0.6538461538461539,17,26,0.6538461538461539,0,0,0.0,5,10,0.5,6,8,0.75,6,8,0.75,17,26,0.6538461538461539,0,0,0.0,0,0,0.0
W,Manel Kape,1,0,0,4,17,23,0.7391304347826086,18,24,0.75,0,0,0.0,6,10,0.6,5,6,0.8333333333333334,6,7,0.8571428571428571,15,21,0.7142857142857143,0,0,0.0,2,2,1.0
L,Giga Chikadze,0,0,0,0,12,22,0.5454545454545454,19,29,0.6551724137931034,0,0,0.0,2,10,0.2,10,10,1.0,0,2,0.0,12,22,0.5454545454545454,0,0,0.0,0,0,0.0
W,Kevin Vallejos,1,0,0,88,20,32,0.625,23,35,0.6571428571428571,0,1,0.0,14,24,0.5833333333333334,2,3,0.6666666666666666,4,5,0.8,15,26,0.5769230769230769,1,2,0.5,4,4,1.0
L,Cesar Almeida,0,0,1,29,12,20,0.6,25,37,0.6756756756756757,0,0,0.0,2,7,0.2857142857142857,7,9,0.7777777777777778,3,4,0.75,12,17,0.7058823529411765,0,0,0.0,0,3,0.0
W,Cezary Oleksiejczuk,0,0,1,675,14,19,0.7368421052631579,113,126,0.8968253968253969,6,7,0.8571428571428571,9,13,0.6923076923076923,5,6,0.8333333333333334,0,0,0.0,10,15,0.6666666666666666,1,1,1.0,3,3,1.0
W,Melquizael Costa,1,0,0,2,4,9,0.4444444444444444,4,9,0.4444444444444444,0,0,0.0,1,3,0.3333333333333333,1,1,1.0,2,5,0.4,4,9,0.4444444444444444,0,0,0.0,0,0,0.0
L,Morgan Charriere,0,0,0,0,2,4,0.5,2,4,0.5,0,0,0.0,0,2,0.0,0,0,0.0,2,2,1.0,2,4,0.5,0,0,0.0,0,0,0.0
D,Kennedy Nzechukwu,0,0,0,217,24,48,0.5,58,87,0.6666666666666666,0,0,0.0,21,43,0.4883720930232558,3,5,0.6,0,0,0.0,13,32,0.40625,2,2,1.0,9,14,0.6428571428571429
D,Marcus Buchecha,0,0,0,380,27,44,0.6136363636363636,47,66,0.7121212121212122,3,13,0.23076923076923078,23,38,0.6052631578947368,4,6,0.6666666666666666,0,0,0.0,2,12,0.16666666666666666,2,4,0.5,23,28,0.8214285714285714
W,King Green,0,0,0,44,65,141,0.46099290780141844,74,150,0.49333333333333335,1,2,0.5,25,77,0.3246753246753247,24,40,0.6,16,24,0.6666666666666666,56,129,0.43410852713178294,1,1,1.0,8,11,0.7272727272727273
L,Lance Gibson Jr.,0,0,0,70,30,72,0.4166666666666667,35,77,0.45454545454545453,2,3,0.6666666666666666,9,39,0.23076923076923078,8,14,0.5714285714285714,13,19,0.6842105263157895,27,66,0.4090909090909091,3,6,0.5,0,0,0.0
L,Neil Magny,0,0,0,0,5,11,0.45454545454545453,15,24,0.625,0,0,0.0,2,8,0.25,2,2,1.0,1,1,1.0,5,11,0.45454545454545453,0,0,0.0,0,0,0.0
W,Yaroslav Amosov,0,1,0,116,9,19,0.47368421052631576,13,27,0.48148148148148145,1,2,0.5,3,12,0.25,0,0,0.0,6,7,0.8571428571428571,8,17,0.47058823529411764,0,0,0.0,1,2,0.5
W,Joanderson Brito,0,2,1,479,33,57,0.5789473684210527,66,93,0.7096774193548387,8,12,0.6666666666666666,16,36,0.4444444444444444,7,10,0.7,10,11,0.9090909090909091,19,36,0.5277777777777778,7,10,0.7,7,11,0.6363636363636364
L,Isaac Thomson,0,0,1,180,21,47,0.44680851063829785,127,164,0.774390243902439,4,5,0.8,14,33,0.42424242424242425,6,10,0.6,1,4,0.25,14,37,0.3783783783783784,6,8,0.75,1,2,0.5
L,Sean Sharaf,0,0,0,0,66,153,0.43137254901960786,66,154,0.42857142857142855,0,1,0.0,50,134,0.373134328358209,15,18,0.8333333333333334,1,1,1.0,66,149,0.4429530201342282,0,4,0.0,0,0,0.0
W,Steven Asplund,0,0,0,3,170,292,0.5821917808219178,172,294,0.5850340136054422,0,0,0.0,154,276,0.5579710144927537,6,6,1.0,10,10,1.0,166,285,0.5824561403508772,4,7,0.5714285714285714,0,0,0.0
L,Melissa Croden,0,0,1,44,22,74,0.2972972972972973,56,109,0.5137614678899083,0,1,0.0,9,53,0.16981132075471697,7,8,0.875,6,13,0.46153846153846156,18,69,0.2608695652173913,4,5,0.8,0,0,0.0
W,Luana Santos,0,1,0,561,12,24,0.5,93,110,0.8454545454545455,3,7,0.42857142857142855,6,16,0.375,4,5,0.8,2,3,0.6666666666666666,10,20,0.5,2,3,0.6666666666666666,0,1,0.0
L,Allen Frye Jr.,0,0,0,475,33,86,0.38372093023255816,73,132,0.553030303030303,0,0,0.0,17,65,0.26153846153846155,12,12,1.0,4,9,0.4444444444444444,19,69,0.2753623188405797,14,17,0.8235294117647058,0,0,0.0
W,Guilherme Pat,0,0,0,44,64,100,0.64,76,114,0.6666666666666666,0,0,0.0,53,88,0.6022727272727273,8,9,0.8888888888888888,3,3,1.0,54,90,0.6,10,10,1.0,0,0,0.0
W,Jamey-Lyn Horth,0,0,0,3,16,22,0.7272727272727273,18,24,0.75,0,0,0.0,12,17,0.7058823529411765,3,4,0.75,1,1,1.0,9,15,0.6,7,7,1.0,0,0,0.0
L,Tereza Bleda,0,0,0,80,2,12,0.16666666666666666,2,12,0.16666666666666666,0,4,0.0,0,8,0.0,2,2,1.0,0,2,0.0,1,11,0.09090909090909091,1,1,1.0,0,0,0.0
L,Merab Dvalishvili,0,2,1,312,134,383,0.34986945169712796,196,458,0.4279475982532751,2,29,0.06896551724137931,105,341,0.30791788856304986,22,34,0.6470588235294118,7,8,0.875,116,353,0.3286118980169972,18,30,0.6,0,0,0.0
W,Petr Yan,0,0,0,175,139,230,0.6043478260869565,159,251,0.6334661354581673,5,9,0.5555555555555556,109,195,0.558974358974359,17,19,0.8947368421052632,13,16,0.8125,119,204,0.5833333333333334,18,24,0.75,2,2,1.0
L,Alexandre Pantoja,0,0,0,0,6,11,0.5454545454545454,6,11,0.5454545454545454,0,0,0.0,4,8,0.5,1,1,1.0,1,2,0.5,5,10,0.5,1,1,1.0,0,0,0.0
W,Joshua Van,0,0,0,0,2,4,0.5,2,4,0.5,0,0,0.0,2,4,0.5,0,0,0.0,0,0,0.0,2,3,0.6666666666666666,0,1,0.0,0,0,0.0
L,Brandon Moreno,0,1,0,5,9,17,0.5294117647058824,9,17,0.5294117647058824,0,0,0.0,8,14,0.5714285714285714,0,2,0.0,1,1,1.0,7,15,0.4666666666666667,0,0,0.0,2,2,1.0
W,Tatsuro Taira,0,0,1,267,28,48,0.5833333333333334,45,65,0.6923076923076923,1,4,0.25,23,42,0.5476190476190477,3,3,1.0,2,3,0.6666666666666666,7,19,0.3684210526315789,2,4,0.5,19,25,0.76
L,Henry Cejudo,0,0,0,159,60,116,0.5172413793103449,77,136,0.5661764705882353,1,7,0.14285714285714285,33,83,0.39759036144578314,10,12,0.8333333333333334,17,21,0.8095238095238095,51,104,0.49038461538461536,7,10,0.7,2,2,1.0
W,Payton Talbott,1,0,0,211,134,217,0.6175115207373272,156,240,0.65,3,5,0.6,89,167,0.5329341317365269,34,39,0.8717948717948718,11,11,1.0,90,168,0.5357142857142857,28,31,0.9032258064516129,16,18,0.8888888888888888
D,Jan Blachowicz,1,1,0,8,84,149,0.5637583892617449,100,173,0.5780346820809249,0,0,0.0,56,112,0.5,11,17,0.6470588235294118,17,20,0.85,74,135,0.5481481481481482,2,3,0.6666666666666666,8,11,0.7272727272727273
D,Bogdan Guskov,1,0,0,249,80,140,0.5714285714285714,98,160,0.6125,0,0,0.0,69,127,0.5433070866141733,2,3,0.6666666666666666,9,10,0.9,52,96,0.5416666666666666,0,0,0.0,28,44,0.6363636363636364
L,Grant Dawson,0,0,0,0,8,21,0.38095238095238093,8,21,0.38095238095238093,0,2,0.0,4,13,0.3076923076923077,2,4,0.5,2,4,0.5,8,21,0.38095238095238093,0,0,0.0,0,0,0.0
W,Manuel Torres,1,0,0,4,9,17,0.5294117647058824,9,17,0.5294117647058824,0,0,0.0,5,12,0.4166666666666667,4,5,0.8,0,0,0.0,8,12,0.6666666666666666,0,0,0.0,1,5,0.2
L,Terrance McKinney,0,0,0,0,31,57,0.543859649122807,31,57,0.543859649122807,0,0,0.0,26,50,0.52,5,7,0.7142857142857143,0,0,0.0,24,45,0.5333333333333333,6,11,0.5454545454545454,1,1,1.0
W,Chris Duncan,1,1,0,70,38,55,0.6909090909090909,53,75,0.7066666666666667,1,2,0.5,36,51,0.7058823529411765,2,3,0.6666666666666666,0,1,0.0,10,20,0.5,6,8,0.75,22,27,0.8148148148148148
W,Maycee Barber,0,0,1,380,55,85,0.6470588235294118,89,130,0.6846153846153846,3,5,0.6,41,66,0.6212121212121212,4,7,0.5714285714285714,10,12,0.8333333333333334,30,52,0.5769230769230769,0,1,0.0,25,32,0.78125
L,Karine Silva,0,0,1,208,21,45,0.4666666666666667,57,87,0.6551724137931034,2,3,0.6666666666666666,8,30,0.26666666666666666,4,5,0.8,9,10,0.9,16,32,0.5,1,4,0.25,4,9,0.4444444444444444
L,Nazim Sadykhov,0,0,0,39,4,16,0.25,7,21,0.3333333333333333,0,2,0.0,1,11,0.09090909090909091,0,0,0.0,3,5,0.6,4,16,0.25,0,0,0.0,0,0,0.0
W,Fares Ziam,1,2,0,358,31,49,0.6326530612244898,76,96,0.7916666666666666,2,5,0.4,21,36,0.5833333333333334,2,3,0.6666666666666666,8,10,0.8,18,31,0.5806451612903226,4,5,0.8,9,13,0.6923076923076923
L,Marvin Vettori,0,0,0,68,88,186,0.4731182795698925,90,188,0.4787234042553192,1,4,0.25,78,176,0.4431818181818182,1,1,1.0,9,9,1.0,86,181,0.47513812154696133,2,4,0.5,0,1,0.0
W,Brunno Ferreira,0,0,0,5,77,149,0.5167785234899329,77,149,0.5167785234899329,1,7,0.14285714285714285,60,130,0.46153846153846156,9,10,0.9,8,9,0.8888888888888888,73,143,0.5104895104895105,3,3,1.0,1,3,0.3333333333333333
L,Edson Barboza,0,0,1,7,10,20,0.5,10,20,0.5,0,0,0.0,4,14,0.2857142857142857,4,4,1.0,2,2,1.0,10,19,0.5263157894736842,0,1,0.0,0,0,0.0
W,Jalin Turner,2,0,0,38,39,66,0.5909090909090909,43,73,0.589041095890411,0,0,0.0,29,55,0.5272727272727272,8,9,0.8888888888888888,2,2,1.0,33,53,0.6226415094339622,5,10,0.5,1,3,0.3333333333333333
W,Iwo Baraniewski,2,0,0,11,22,32,0.6875,28,39,0.717948717948718,0,1,0.0,18,27,0.6666666666666666,3,4,0.75,1,1,1.0,6,14,0.42857142857142855,6,6,1.0,10,12,0.8333333333333334
L,Ibo Aslan,1,0,0,6,30,53,0.5660377358490566,31,54,0.5740740740740741,0,1,0.0,29,47,0.6170212765957447,0,4,0.0,1,2,0.5,19,35,0.5428571428571428,11,18,0.6111111111111112,0,0,0.0
W,Mansur Abdul-Malik,0,1,0,42,2,4,0.5,2,4,0.5,1,1,1.0,2,4,0.5,0,0,0.0,0,0,0.0,1,3,0.3333333333333333,0,0,0.0,1,1,1.0
L,Antonio Trocoli,0,0,0,0,3,6,0.5,3,6,0.5,0,1,0.0,2,4,0.5,0,1,0.0,1,1,1.0,3,6,0.5,0,0,0.0,0,0,0.0
L,Muhammad Naimov,0,0,0,128,18,48,0.375,35,69,0.5072463768115942,0,5,0.0,7,29,0.2413793103448276,6,10,0.6,5,9,0.5555555555555556,13,40,0.325,5,8,0.625,0,0,0.0
W,Mairon Santos,1,0,0,47,27,45,0.6,43,61,0.7049180327868853,0,1,0.0,11,27,0.4074074074074074,8,10,0.8,8,8,1.0,19,34,0.5588235294117647,7,8,0.875,1,3,0.3333333333333333
W,Arman Tsarukyan,0,1,0,362,42,60,0.7,69,89,0.7752808988764045,2,4,0.5,33,49,0.673469387755102,3,5,0.6,6,6,1.0,18,31,0.5806451612903226,2,2,1.0,22,27,0.8148148148148148
L,Dan Hooker,0,2,0,10,10,33,0.30303030303030304,17,41,0.4146341463414634,0,0,0.0,3,20,0.15,6,12,0.5,1,1,1.0,9,30,0.3,1,3,0.3333333333333333,0,0,0.0
L,Belal Muhammad,0,0,0,215,56,139,0.4028776978417266,97,197,0.49238578680203043,0,7,0.0,45,126,0.35714285714285715,8,9,0.8888888888888888,3,4,0.75,52,131,0.3969465648854962,4,8,0.5,0,0,0.0
W,Ian Machado Garry,0,0,0,39,72,141,0.5106382978723404,96,167,0.5748502994011976,0,2,0.0,35,98,0.35714285714285715,10,15,0.6666666666666666,27,28,0.9642857142857143,66,134,0.4925373134328358,6,7,0.8571428571428571,0,0,0.0
W,Volkan Oezdemir,1,0,0,0,13,35,0.37142857142857144,14,37,0.3783783783783784,0,0,0.0,12,33,0.36363636363636365,0,1,0.0,1,1,1.0,13,35,0.37142857142857144,0,0,0.0,0,0,0.0
L,Alonzo Menifield,0,0,0,0,2,7,0.2857142857142857,2,7,0.2857142857142857,0,0,0.0,1,5,0.2,1,2,0.5,0,0,0.0,2,7,0.2857142857142857,0,0,0.0,0,0,0.0
L,Jack Hermansson,0,0,0,0,19,38,0.5,19,38,0.5,0,0,0.0,9,25,0.36,5,8,0.625,5,5,1.0,17,36,0.4722222222222222,2,2,1.0,0,0,0.0
W,Myktybek Orolbai,1,0,0,3,15,33,0.45454545454545453,15,33,0.45454545454545453,0,0,0.0,9,25,0.36,3,5,0.6,3,3,1.0,13,31,0.41935483870967744,1,1,1.0,1,1,1.0
W,Waldo Cortes Acosta,2,0,0,8,10,21,0.47619047619047616,15,26,0.5769230769230769,0,0,0.0,8,19,0.42105263157894735,1,1,1.0,1,1,1.0,9,18,0.5,0,1,0.0,1,2,0.5
L,Shamil Gaziev,0,0,0,0,6,15,0.4,6,15,0.4,0,0,0.0,4,13,0.3076923076923077,1,1,1.0,1,1,1.0,6,15,0.4,0,0,0.0,0,0,0.0
L,Tagir Ulanbekov,0,1,0,85,6,27,0.2222222222222222,10,32,0.3125,1,2,0.5,3,18,0.16666666666666666,2,8,0.25,1,1,1.0,6,25,0.24,0,2,0.0,0,0,0.0
W,Kyoji Horiguchi,2,1,0,334,49,77,0.6363636363636364,120,157,0.7643312101910829,0,1,0.0,36,60,0.6,4,4,1.0,9,13,0.6923076923076923,25,41,0.6097560975609756,0,3,0.0,24,33,0.7272727272727273
L,Bogdan Grad,0,0,0,235,7,13,0.5384615384615384,17,24,0.7083333333333334,4,7,0.5714285714285714,6,12,0.5,1,1,1.0,0,0,0.0,1,5,0.2,2,2,1.0,4,6,0.6666666666666666
W,Luke Riley,1,0,0,15,14,23,0.6086956521739131,20,32,0.625,0,0,0.0,11,19,0.5789473684210527,1,2,0.5,2,2,1.0,4,11,0.36363636363636365,1,1,1.0,9,11,0.8181818181818182
W,Nicolas Dalby,0,0,1,389,26,63,0.4126984126984127,87,140,0.6214285714285714,0,2,0.0,13,41,0.3170731707317073,8,16,0.5,5,6,0.8333333333333334,11,40,0.275,13,21,0.6190476190476191,2,2,1.0
L,Saygid Izagakhmaev,0,0,0,318,20,34,0.5882352941176471,65,88,0.7386363636363636,4,10,0.4,11,23,0.4782608695652174,9,10,0.9,0,1,0.0,8,19,0.42105263157894735,10,12,0.8333333333333334,2,3,0.6666666666666666
L,Alex Perez,0,0,0,138,40,98,0.40816326530612246,84,143,0.5874125874125874,3,5,0.6,14,57,0.24561403508771928,15,23,0.6521739130434783,11,18,0.6111111111111112,32,85,0.3764705882352941,3,7,0.42857142857142855,5,6,0.8333333333333334
W,Asu Almabayev,0,1,0,72,36,90,0.4,68,126,0.5396825396825397,2,5,0.4,24,76,0.3157894736842105,8,10,0.8,4,4,1.0,32,84,0.38095238095238093,4,6,0.6666666666666666,0,0,0.0
W,Abdul Rakhman Yakhyaev,1,1,0,24,6,10,0.6,11,16,0.6875,1,1,1.0,6,10,0.6,0,0,0.0,0,0,0.0,3,4,0.75,0,0,0.0,3,6,0.5
L,Rafael Cerqueira,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0.0
L,Bekzat Almakhan,0,0,0,1,39,119,0.3277310924369748,42,122,0.3442622950819672,0,1,0.0,26,102,0.2549019607843137,8,11,0.7272727272727273,5,6,0.8333333333333334,38,116,0.3275862068965517,1,2,0.5,0,1,0.0
W,Aleksandre Topuria,0,0,0,140,47,81,0.5802469135802469,55,89,0.6179775280898876,2,7,0.2857142857142857,45,75,0.6,1,5,0.2,1,1,1.0,44,77,0.5714285714285714,1,2,0.5,2,2,1.0
W,Ismail Naurdiev,1,0,0,2,3,6,0.5,3,6,0.5,0,0,0.0,2,5,0.4,1,1,1.0,0,0,0.0,3,6,0.5,0,0,0.0,0,0,0.0
L,Ryan Loder,0,0,0,0,1,4,0.25,1,4,0.25,0,0,0.0,1,4,0.25,0,0,0.0,0,0,0.0,1,4,0.25,0,0,0.0,0,0,0.0
W,Nurullo Aliev,0,1,0,224,51,117,0.4358974358974359,63,133,0.47368421052631576,1,5,0.2,37,97,0.38144329896907214,10,14,0.7142857142857143,4,6,0.6666666666666666,43,105,0.4095238095238095,7,11,0.6363636363636364,1,1,1.0
L,Shem Rock,0,0,0,32,44,104,0.4230769230769231,77,141,0.5460992907801419,1,9,0.1111111111111111,9,53,0.16981132075471697,18,32,0.5625,17,19,0.8947368421052632,40,97,0.41237113402061853,4,7,0.5714285714285714,0,0,0.0
L,Marek Bujlo,0,0,0,28,31,80,0.3875,31,80,0.3875,0,0,0.0,3,22,0.13636363636363635,6,14,0.42857142857142855,22,44,0.5,31,79,0.3924050632911392,0,0,0.0,0,1,0.0
W,Denzel Freeman,0,0,0,0,49,79,0.620253164556962,49,79,0.620253164556962,0,0,0.0,19,43,0.4418604651162791,6,10,0.6,24,26,0.9230769230769231,45,73,0.6164383561643836,4,6,0.6666666666666666,0,0,0.0
L,Jack Della Maddalena,0,0,0,0,18,61,0.29508196721311475,30,74,0.40540540540540543,0,1,0.0,10,45,0.2222222222222222,6,12,0.5,2,4,0.5,14,56,0.25,4,5,0.8,0,0,0.0
W,Islam Makhachev,0,0,0,1150,30,57,0.5263157894736842,140,188,0.7446808510638298,4,4,1.0,14,40,0.35,6,7,0.8571428571428571,10,10,1.0,20,41,0.4878048780487805,3,4,0.75,7,12,0.5833333333333334
W,Valentina Shevchenko,0,0,0,804,41,68,0.6029411764705882,137,186,0.7365591397849462,5,6,0.8333333333333334,21,44,0.4772727272727273,14,17,0.8235294117647058,6,7,0.8571428571428571,27,47,0.574468085106383,8,14,0.5714285714285714,6,7,0.8571428571428571
L,Zhang Weili,0,0,0,46,32,98,0.32653061224489793,80,161,0.4968944099378882,0,1,0.0,9,59,0.15254237288135594,13,26,0.5,10,13,0.7692307692307693,25,90,0.2777777777777778,7,8,0.875,0,0,0.0
L,Sean Brady,0,0,0,0,8,22,0.36363636363636365,8,22,0.36363636363636365,0,1,0.0,5,15,0.3333333333333333,0,0,0.0,3,7,0.42857142857142855,8,22,0.36363636363636365,0,0,0.0,0,0,0.0
W,Michael Morales,1,0,0,2,24,52,0.46153846153846156,24,52,0.46153846153846156,0,0,0.0,24,50,0.48,0,1,0.0,0,1,0.0,21,47,0.44680851063829785,0,1,0.0,3,4,0.75
L,Leon Edwards,0,0,0,180,12,17,0.7058823529411765,25,30,0.8333333333333334,2,3,0.6666666666666666,4,8,0.5,0,0,0.0,8,9,0.8888888888888888,11,16,0.6875,1,1,1.0,0,0,0.0
W,Carlos Prates,1,0,0,1,21,32,0.65625,24,35,0.6857142857142857,0,0,0.0,8,16,0.5,2,3,0.6666666666666666,11,13,0.8461538461538461,19,30,0.6333333333333333,1,1,1.0,1,1,1.0
L,Beneil Dariush,0,0,0,0,3,5,0.6,3,5,0.6,0,0,0.0,0,2,0.0,1,1,1.0,2,2,1.0,2,4,0.5,1,1,1.0,0,0,0.0
W,Benoit Saint Denis,1,0,0,0,3,5,0.6,3,5,0.6,0,0,0.0,3,5,0.6,0,0,0.0,0,0,0.0,0,1,0.0,2,3,0.6666666666666666,1,1,1.0
W,Bo Nickal,1,1,0,88,77,121,0.6363636363636364,94,143,0.6573426573426573,2,3,0.6666666666666666,56,93,0.6021505376344086,13,19,0.6842105263157895,8,9,0.8888888888888888,64,103,0.6213592233009708,7,9,0.7777777777777778,6,9,0.6666666666666666
L,Rodolfo Vieira,0,0,0,60,24,64,0.375,31,71,0.43661971830985913,0,6,0.0,7,38,0.18421052631578946,6,12,0.5,11,14,0.7857142857142857,23,63,0.36507936507936506,1,1,1.0,0,0,0.0
L,Roman Kopylov,0,0,0,35,52,105,0.49523809523809526,54,109,0.4954128440366973,2,2,1.0,35,80,0.4375,9,16,0.5625,8,9,0.8888888888888888,51,103,0.49514563106796117,1,1,1.0,0,1,0.0
W,Gregory Rodrigues,0,1,0,24,90,173,0.5202312138728323,91,174,0.5229885057471264,0,4,0.0,59,133,0.44360902255639095,28,37,0.7567567567567568,3,3,1.0,84,164,0.5121951219512195,6,9,0.6666666666666666,0,0,0.0
W,Erin Blanchfield,0,1,1,163,52,116,0.4482758620689655,65,134,0.48507462686567165,2,3,0.6666666666666666,38,100,0.38,6,8,0.75,8,8,1.0,51,115,0.4434782608695652,1,1,1.0,0,0,0.0
L,Tracy Cortez,0,0,0,30,46,104,0.4423076923076923,50,108,0.46296296296296297,1,3,0.3333333333333333,35,88,0.3977272727272727,7,12,0.5833333333333334,4,4,1.0,45,100,0.45,1,4,0.25,0,0,0.0
L,Malcolm Wellmaker,0,0,0,71,77,146,0.5273972602739726,82,151,0.543046357615894,0,3,0.0,35,87,0.40229885057471265,35,45,0.7777777777777778,7,14,0.5,53,116,0.45689655172413796,24,30,0.8,0,0,0.0
