Result,Fighter,KD,Sub. att,Rev.,Ctrl,sig_str_landed,sig_str_attempted,sig_str_rate,total_str_landed,total_str_attempted,total_str_rate,td_landed,td_attempted,td_rate,head_landed,head_attempted,head_rate,body_landed,body_attempted,body_rate,leg_landed,leg_attempted,leg_rate,distance_landed,distance_attempted,distance_rate,clinch_landed,clinch_attempted,clinch_rate,ground_landed,ground_attempted,ground_rate
L,Matt Schnell,0,0,0,0,8,21,0.38095238095238093,8,21,0.38095238095238093,0,0,0.0,5,17,0.29411764705882354,1,2,0.5,2,2,1.0,8,21,0.38095238095238093,0,0,0.0,0,0,0.0
W,Alessandro Costa,1,0,0,5,19,23,0.8260869565217391,19,23,0.8260869565217391,0,0,0.0,16,18,0.8888888888888888,2,2,1.0,1,3,0.3333333333333333,7,11,0.6363636363636364,0,0,0.0,12,12,1.0
W,Marcus McGhee,0,0,0,0,79,202,0.3910891089108911,79,202,0.3910891089108911,0,2,0.0,60,171,0.3508771929824561,13,22,0.5909090909090909,6,9,0.6666666666666666,79,202,0.3910891089108911,0,0,0.0,0,0,0.0
L,John Yannis,0,0,0,0,55,115,0.4782608695652174,55,115,0.4782608695652174,0,0,0.0,27,77,0.35064935064935066,20,30,0.6666666666666666,8,8,1.0,54,114,0.47368421052631576,1,1,1.0,0,0,0.0
L,Bruno Silva,0,0,0,0,17,29,0.5862068965517241,17,29,0.5862068965517241,0,3,0.0,11,22,0.5,3,4,0.75,3,3,1.0,17,29,0.5862068965517241,0,0,0.0,0,0,0.0
W,Edgar Chairez,2,1,0,24,24,44,0.5454545454545454,24,44,0.5454545454545454,0,0,0.0,20,37,0.5405405405405406,2,5,0.4,2,2,1.0,21,38,0.5526315789473685,0,0,0.0,3,6,0.5
L,Priscila Cachoeira,0,0,0,23,7,13,0.5384615384615384,9,16,0.5625,1,1,1.0,6,11,0.5454545454545454,0,1,0.0,1,1,1.0,6,12,0.5,0,0,0.0,1,1,1.0
W,Chelsea Chandler,1,1,0,112,11,25,0.44,24,41,0.5853658536585366,0,0,0.0,9,22,0.4090909090909091,2,3,0.6666666666666666,0,0,0.0,9,22,0.4090909090909091,2,2,1.0,0,1,0.0
L,Jordan Leavitt,0,1,1,141,7,9,0.7777777777777778,27,29,0.9310344827586207,0,5,0.0,3,3,1.0,4,6,0.6666666666666666,0,0,0.0,3,4,0.75,4,5,0.8,0,0,0.0
W,Joanderson Brito,0,1,0,77,5,13,0.38461538461538464,15,24,0.625,0,0,0.0,3,10,0.3,2,2,1.0,0,1,0.0,3,11,0.2727272727272727,2,2,1.0,0,0,0.0
W,Jeisla Chaves,0,1,0,269,64,99,0.6464646464646465,92,136,0.6764705882352942,3,6,0.5,35,66,0.5303030303030303,20,24,0.8333333333333334,9,9,1.0,36,68,0.5294117647058824,15,18,0.8333333333333334,13,13,1.0
L,Yuneisy Duben,0,0,1,198,62,112,0.5535714285714286,110,165,0.6666666666666666,2,4,0.5,41,83,0.4939759036144578,14,16,0.875,7,13,0.5384615384615384,44,90,0.4888888888888889,8,9,0.8888888888888888,10,13,0.7692307692307693
W,Ketlen Souza,1,0,0,3,13,17,0.7647058823529411,13,17,0.7647058823529411,0,0,0.0,11,15,0.7333333333333333,0,0,0.0,2,2,1.0,12,16,0.75,0,0,0.0,1,1,1.0
L,Ariane Carnelossi,0,0,0,0,8,21,0.38095238095238093,8,21,0.38095238095238093,0,0,0.0,4,12,0.3333333333333333,3,8,0.375,1,1,1.0,8,21,0.38095238095238093,0,0,0.0,0,0,0.0
W,Song Yadong,0,1,0,3,24,52,0.46153846153846156,30,58,0.5172413793103449,1,1,1.0,6,29,0.20689655172413793,4,7,0.5714285714285714,14,16,0.875,23,50,0.46,1,2,0.5,0,0,0.0
L,Deiveson Figueiredo,0,0,0,35,9,17,0.5294117647058824,17,26,0.6538461538461539,1,4,0.25,2,8,0.25,5,7,0.7142857142857143,2,2,1.0,9,17,0.5294117647058824,0,0,0.0,0,0,0.0
