Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,Casey O'Neill,0,31 of 74,41%,32 of 75,0 of 2,0%,0,0,0:20,17 of 57,3 of 3,11 of 14,29 of 72,2 of 2,0 of 0
W,Ariane da Silva,0,64 of 127,50%,86 of 152,1 of 1,100%,1,0,0:58,45 of 106,16 of 18,3 of 3,37 of 95,9 of 11,18 of 21
W,Tagir Ulanbekov,1,24 of 41,58%,45 of 63,2 of 2,100%,5,1,6:03,19 of 35,4 of 5,1 of 1,15 of 32,5 of 5,4 of 4
L,Cody Durden,0,32 of 43,74%,55 of 67,0 of 0,---,0,0,0:36,22 of 31,3 of 3,7 of 9,24 of 34,3 of 4,5 of 5
W,Andre Fili,1,20 of 36,55%,25 of 42,0 of 0,---,0,0,0:15,16 of 29,3 of 6,1 of 1,8 of 21,0 of 0,12 of 15
L,Lucas Almeida,0,10 of 25,40%,10 of 25,0 of 0,---,0,0,0:00,1 of 11,0 of 1,9 of 13,10 of 25,0 of 0,0 of 0
L,Martin Buday,0,8 of 20,40%,13 of 26,0 of 2,0%,0,0,0:20,8 of 19,0 of 1,0 of 0,8 of 17,0 of 3,0 of 0
W,Shamil Gaziev,0,49 of 98,50%,60 of 114,0 of 0,---,0,0,2:18,35 of 79,14 of 19,0 of 0,35 of 73,5 of 10,9 of 15
W,Song Yadong,0,77 of 165,46%,160 of 283,2 of 3,66%,0,0,11:01,35 of 100,12 of 20,30 of 45,49 of 127,4 of 6,24 of 32
L,Chris Gutierrez,0,87 of 145,60%,105 of 165,0 of 2,0%,0,0,0:00,8 of 39,3 of 15,76 of 91,87 of 145,0 of 0,0 of 0
L,Anthony Smith,0,47 of 84,55%,52 of 89,0 of 2,0%,0,0,0:11,27 of 62,14 of 16,6 of 6,46 of 83,1 of 1,0 of 0
W,Khalil Rountree Jr.,1,53 of 114,46%,56 of 118,0 of 0,---,0,0,0:58,33 of 94,14 of 14,6 of 6,51 of 109,1 of 3,1 of 2
W,Nasrat Haqparast,2,16 of 29,55%,18 of 31,0 of 0,---,0,0,0:05,14 of 27,2 of 2,0 of 0,4 of 13,6 of 8,6 of 8
L,Jamie Mullarkey,0,8 of 23,34%,8 of 23,0 of 0,---,0,0,0:00,3 of 16,2 of 4,3 of 3,8 of 23,0 of 0,0 of 0
