Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Islam Makhachev,1,22 of 44,50%,78 of 114,7 of 15,46%,0,0,12:30,9 of 31,3 of 3,10 of 10,15 of 36,6 of 7,1 of 1
L,Ian Machado Garry,0,29 of 65,44%,89 of 141,0 of 0,---,0,0,0:34,7 of 40,16 of 17,6 of 8,22 of 57,7 of 8,0 of 0
W,Mackenzie Dern,0,65 of 168,38%,122 of 239,4 of 6,66%,1,0,10:48,40 of 140,14 of 17,11 of 11,55 of 153,2 of 2,8 of 13
L,Gillian Robertson,0,49 of 131,37%,136 of 237,1 of 3,33%,0,2,6:47,37 of 107,9 of 19,3 of 5,24 of 100,8 of 10,17 of 21
W,Jalin Turner,1,9 of 14,64%,9 of 14,0 of 0,---,0,0,0:05,8 of 11,1 of 2,0 of 1,1 of 4,0 of 0,8 of 10
L,Kaue Fernandes,0,2 of 4,50%,2 of 4,0 of 0,---,0,0,0:00,1 of 2,0 of 1,1 of 1,2 of 4,0 of 0,0 of 0
L,Mansur Abdul-Malik,0,34 of 67,50%,34 of 68,1 of 1,100%,0,0,0:37,19 of 48,9 of 11,6 of 8,22 of 45,9 of 14,3 of 8
W,Dustin Stoltzfus,0,43 of 70,61%,61 of 92,2 of 7,28%,1,0,3:02,25 of 48,12 of 15,6 of 7,15 of 32,14 of 22,14 of 16
L,Edson Barboza,0,30 of 64,46%,30 of 64,0 of 0,---,0,0,0:00,13 of 42,11 of 16,6 of 6,29 of 63,1 of 1,0 of 0
W,Esteban Ribovics,0,63 of 126,50%,70 of 133,0 of 0,---,0,0,0:19,41 of 101,10 of 11,12 of 14,49 of 107,14 of 18,0 of 1
W,Chidi Njokuani,0,155 of 229,67%,159 of 233,0 of 1,0%,0,0,0:12,51 of 100,56 of 76,48 of 53,149 of 222,6 of 7,0 of 0
L,Joel Alvarez,0,74 of 164,45%,76 of 166,0 of 0,---,0,0,0:26,37 of 120,19 of 25,18 of 19,72 of 161,2 of 3,0 of 0
W,Charles Johnson,0,66 of 142,46%,70 of 146,0 of 5,0%,1,0,0:13,40 of 106,14 of 22,12 of 14,63 of 136,1 of 2,2 of 4
L,Eduardo Chapolin,1,55 of 131,41%,59 of 137,1 of 4,25%,0,0,1:12,22 of 84,13 of 20,20 of 27,49 of 122,2 of 3,4 of 6
W,Donte Johnson,1,11 of 31,35%,11 of 31,0 of 0,---,0,0,0:00,9 of 29,1 of 1,1 of 1,9 of 28,0 of 1,2 of 2
L,Eric McConico,0,6 of 15,40%,6 of 15,0 of 1,0%,0,0,0:03,4 of 13,1 of 1,1 of 1,5 of 14,1 of 1,0 of 0
L,Vicente Luque,0,46 of 122,37%,50 of 127,0 of 1,0%,1,0,0:44,31 of 104,7 of 7,8 of 11,43 of 118,3 of 4,0 of 0
W,Tresean Gore,0,65 of 136,47%,98 of 179,0 of 2,0%,1,0,3:45,53 of 120,2 of 3,10 of 13,39 of 107,4 of 5,22 of 24
L,Rafael Tobias,0,13 of 56,23%,14 of 58,1 of 1,100%,0,0,0:55,5 of 47,5 of 5,3 of 4,11 of 52,1 of 2,1 of 2
W,Lucas Fernando,2,69 of 115,60%,69 of 115,0 of 0,---,0,0,0:09,37 of 80,18 of 20,14 of 15,66 of 111,1 of 1,2 of 3
W,Neil Magny,0,24 of 38,63%,61 of 78,0 of 1,0%,1,1,0:59,20 of 34,1 of 1,3 of 3,9 of 18,2 of 3,13 of 17
L,Ramiz Brahimaj,0,7 of 9,77%,20 of 24,1 of 3,33%,0,1,6:25,2 of 3,1 of 1,4 of 5,5 of 7,0 of 0,2 of 2
W,Jeremiah Wells,0,16 of 45,35%,28 of 57,1 of 1,100%,1,1,0:23,14 of 43,2 of 2,0 of 0,16 of 45,0 of 0,0 of 0
L,Myktybek Orolbai,0,26 of 35,74%,67 of 83,4 of 6,66%,0,0,6:20,22 of 30,4 of 5,0 of 0,7 of 15,0 of 0,19 of 20
L,Mateusz Gamrot,0,3 of 10,30%,3 of 10,0 of 1,0%,2,0,0:20,3 of 10,0 of 0,0 of 0,3 of 10,0 of 0,0 of 0
W,Quillan Salkilld,0,10 of 24,41%,20 of 35,1 of 1,100%,1,0,2:02,8 of 19,1 of 4,1 of 1,6 of 18,3 of 4,1 of 2
W,Diego Ferreira,0,116 of 236,49%,124 of 246,4 of 9,44%,0,0,2:47,94 of 207,20 of 27,2 of 2,101 of 218,8 of 9,7 of 9
L,Billy Quarantillo,0,73 of 208,35%,113 of 249,1 of 3,33%,0,0,1:48,50 of 167,16 of 31,7 of 10,68 of 199,3 of 5,2 of 4
L,Darren Elkins,0,0 of 2,0%,0 of 2,0 of 1,0%,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
W,Yadier del Valle,1,5 of 6,83%,5 of 6,0 of 0,---,0,0,0:09,4 of 5,0 of 0,1 of 1,2 of 3,1 of 1,2 of 2
L,Amanda Lemos,0,56 of 100,56%,68 of 115,0 of 2,0%,0,0,0:22,29 of 63,17 of 27,10 of 10,52 of 96,4 of 4,0 of 0
W,Alexia Thainara,0,81 of 125,64%,199 of 246,2 of 6,33%,0,0,7:43,35 of 71,22 of 27,24 of 27,52 of 91,24 of 29,5 of 5
L,Billy Ray Goff,0,25 of 57,43%,35 of 67,0 of 8,0%,0,0,2:46,8 of 36,11 of 13,6 of 8,18 of 49,7 of 8,0 of 0
W,Ty Miller,2,133 of 221,60%,163 of 251,0 of 0,---,0,0,1:00,121 of 204,11 of 16,1 of 1,92 of 166,14 of 19,27 of 36
W,Steven Asplund,2,66 of 109,60%,134 of 180,0 of 1,0%,1,0,4:44,51 of 92,9 of 11,6 of 6,27 of 63,19 of 24,20 of 22
L,Guilherme Pat,1,45 of 76,59%,72 of 103,0 of 0,---,0,0,2:50,25 of 55,13 of 14,7 of 7,36 of 66,9 of 9,0 of 1
W,Diyar Nurgozhay,2,48 of 70,68%,48 of 70,0 of 0,---,0,0,0:08,17 of 30,14 of 16,17 of 24,34 of 56,2 of 2,12 of 12
L,Bruno Lopes,0,14 of 25,56%,14 of 25,1 of 1,100%,0,0,0:03,2 of 11,4 of 6,8 of 8,14 of 25,0 of 0,0 of 0
L,Louie Sutherland,0,3 of 4,75%,3 of 4,0 of 1,0%,0,0,0:11,1 of 2,0 of 0,2 of 2,3 of 4,0 of 0,0 of 0
W,Jose Montanha,0,2 of 7,28%,7 of 12,1 of 2,50%,1,0,1:01,2 of 7,0 of 0,0 of 0,1 of 6,1 of 1,0 of 0
W,Manoel Sousa,1,67 of 119,56%,89 of 141,1 of 1,100%,0,0,2:49,43 of 86,5 of 7,19 of 26,49 of 98,13 of 16,5 of 5
L,Richie Miranda,0,46 of 119,38%,126 of 213,1 of 9,11%,0,0,3:51,41 of 108,4 of 9,1 of 2,28 of 91,7 of 14,11 of 14
W,Miles Johns,1,12 of 28,42%,12 of 28,0 of 0,---,0,0,0:04,11 of 25,0 of 1,1 of 2,8 of 24,0 of 0,4 of 4
L,Gianni Vazquez,0,7 of 25,28%,7 of 25,0 of 0,---,0,0,0:00,4 of 21,1 of 2,2 of 2,7 of 25,0 of 0,0 of 0
W,Juliana Miller,0,24 of 44,54%,45 of 70,2 of 4,50%,1,0,4:42,19 of 36,5 of 7,0 of 1,6 of 11,5 of 5,13 of 28
L,Ravena Oliveira,0,7 of 18,38%,18 of 30,0 of 0,---,0,0,0:06,2 of 12,2 of 2,3 of 4,5 of 16,2 of 2,0 of 0
L,Gigi Canuto,0,56 of 107,52%,102 of 159,4 of 7,57%,1,0,6:10,41 of 81,6 of 16,9 of 10,52 of 102,2 of 3,2 of 2
W,Carol Foro,0,106 of 173,61%,125 of 192,0 of 0,---,0,1,0:50,64 of 120,30 of 38,12 of 15,91 of 148,8 of 12,7 of 13
W,Uros Medic,1,11 of 14,78%,11 of 14,0 of 0,---,0,0,0:04,9 of 11,1 of 2,1 of 1,5 of 6,0 of 0,6 of 8
L,Daniel Rodriguez,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0,0 of 0
L,Jan Blachowicz,0,3 of 7,42%,6 of 11,0 of 0,---,0,0,0:04,1 of 5,2 of 2,0 of 0,3 of 5,0 of 2,0 of 0
W,Navajo Stirling,0,35 of 46,76%,36 of 47,0 of 1,0%,0,0,1:04,22 of 30,3 of 5,10 of 11,15 of 22,0 of 0,20 of 24
W,Aleksandar Rakic,0,71 of 136,52%,83 of 149,0 of 0,---,0,0,3:11,28 of 84,27 of 34,16 of 18,66 of 131,5 of 5,0 of 0
L,Marcin Tybura,0,33 of 129,25%,37 of 133,0 of 2,0%,0,0,0:00,18 of 94,8 of 27,7 of 8,29 of 123,4 of 6,0 of 0
L,Dusko Todorovic,0,1 of 1,100%,1 of 1,2 of 3,66%,0,0,1:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
W,Robert Valentin,0,1 of 3,33%,13 of 15,1 of 1,100%,2,1,2:37,0 of 1,1 of 2,0 of 0,1 of 3,0 of 0,0 of 0
L,Vlasto Cepo,0,7 of 24,29%,7 of 24,0 of 0,---,0,0,0:00,5 of 22,2 of 2,0 of 0,7 of 24,0 of 0,0 of 0
W,Gilbert Urbina,1,30 of 48,62%,36 of 54,0 of 0,---,0,0,0:22,27 of 45,2 of 2,1 of 1,8 of 22,0 of 0,22 of 26
L,Milos Janicic,0,6 of 19,31%,7 of 20,0 of 0,---,0,0,0:00,5 of 18,1 of 1,0 of 0,6 of 18,0 of 1,0 of 0
W,Noah Gugnon,0,5 of 11,45%,6 of 13,0 of 0,---,1,0,0:40,1 of 7,0 of 0,4 of 4,5 of 9,0 of 0,0 of 2
L,Ludovit Klein,0,46 of 87,52%,47 of 88,0 of 1,0%,0,0,0:00,24 of 61,17 of 21,5 of 5,44 of 85,2 of 2,0 of 0
W,Tofiq Musayev,1,46 of 110,41%,59 of 128,0 of 1,0%,0,0,1:02,26 of 83,10 of 15,10 of 12,42 of 104,1 of 1,3 of 5
L,Oban Elliott,0,6 of 11,54%,6 of 11,0 of 1,0%,0,0,0:00,4 of 8,1 of 2,1 of 1,6 of 11,0 of 0,0 of 0
W,Michael Oliveira,2,14 of 25,56%,18 of 29,0 of 0,---,0,0,0:15,13 of 23,1 of 2,0 of 0,4 of 11,0 of 0,10 of 14
W,Borislav Nikolic,0,57 of 147,38%,87 of 189,1 of 1,100%,2,1,4:05,51 of 136,2 of 6,4 of 5,41 of 123,3 of 8,13 of 16
L,Mark Vologdin,1,42 of 102,41%,43 of 103,3 of 8,37%,0,0,1:11,26 of 78,7 of 13,9 of 11,36 of 87,6 of 14,0 of 1
L,Dennis Buzukja,0,46 of 89,51%,68 of 111,0 of 0,---,0,0,0:00,35 of 75,9 of 11,2 of 3,44 of 87,2 of 2,0 of 0
W,Bogdan Grad,0,44 of 74,59%,67 of 100,4 of 12,33%,2,0,4:24,32 of 59,7 of 10,5 of 5,24 of 51,6 of 7,14 of 16
W,Mateusz Rebecki,0,75 of 98,76%,132 of 174,1 of 1,100%,0,0,4:04,71 of 93,4 of 5,0 of 0,7 of 14,0 of 0,68 of 84
L,Kyle Prepolec,0,2 of 13,15%,11 of 23,0 of 0,---,0,0,0:00,1 of 11,1 of 2,0 of 0,1 of 12,0 of 0,1 of 1
W,Nina Milosevic,1,21 of 39,53%,21 of 39,0 of 0,---,0,0,0:00,14 of 29,7 of 10,0 of 0,16 of 30,5 of 9,0 of 0
L,Hailey Cowan,0,13 of 48,27%,13 of 48,0 of 2,0%,0,0,0:00,7 of 36,5 of 11,1 of 1,12 of 45,1 of 3,0 of 0
W,Jovan Leka,1,10 of 16,62%,10 of 16,0 of 0,---,0,0,0:02,8 of 13,1 of 1,1 of 2,6 of 10,2 of 2,2 of 4
L,Alexander Poppeck,0,8 of 18,44%,8 of 18,0 of 0,---,0,0,0:00,2 of 12,1 of 1,5 of 5,8 of 18,0 of 0,0 of 0
L,Marina Spasic,0,25 of 53,47%,25 of 53,0 of 0,---,0,0,0:00,18 of 46,1 of 1,6 of 6,25 of 53,0 of 0,0 of 0
W,Stephanie Luciano,0,20 of 47,42%,22 of 49,1 of 2,50%,1,0,0:26,14 of 38,0 of 1,6 of 8,20 of 46,0 of 1,0 of 0
W,Magomed Ankalaev,0,54 of 113,47%,156 of 235,2 of 4,50%,3,0,8:26,19 of 63,26 of 39,9 of 11,44 of 98,4 of 4,6 of 11
L,Bogdan Guskov,0,39 of 63,61%,45 of 70,0 of 0,---,1,0,0:00,2 of 21,3 of 4,34 of 38,39 of 63,0 of 0,0 of 0
L,Steve Erceg,0,11 of 42,26%,11 of 42,0 of 1,0%,0,0,0:08,9 of 37,2 of 5,0 of 0,10 of 41,1 of 1,0 of 0
W,Ramazan Temirov,2,27 of 61,44%,32 of 67,0 of 0,---,0,0,0:06,25 of 56,1 of 4,1 of 1,25 of 59,0 of 0,2 of 2
W,Magomed Zaynukov,0,74 of 131,56%,109 of 167,2 of 6,33%,0,0,0:54,46 of 93,8 of 15,20 of 23,53 of 107,21 of 24,0 of 0
L,Damian Rzepecki,0,16 of 62,25%,32 of 80,1 of 7,14%,0,0,5:02,6 of 46,4 of 8,6 of 8,15 of 60,1 of 2,0 of 0
W,Rizvan Kuniev,1,66 of 120,55%,68 of 122,0 of 0,---,0,0,2:21,46 of 94,20 of 26,0 of 0,35 of 75,30 of 44,1 of 1
L,Tyrell Fortune,0,20 of 43,46%,29 of 52,0 of 2,0%,0,0,0:00,12 of 33,4 of 5,4 of 5,10 of 30,10 of 13,0 of 0
W,Abubakar Vagaev,0,27 of 70,38%,91 of 138,4 of 10,40%,0,0,7:46,16 of 52,7 of 13,4 of 5,18 of 59,7 of 9,2 of 2
L,Saygid Izagakhmaev,0,33 of 83,39%,73 of 124,2 of 7,28%,3,0,2:46,16 of 63,7 of 9,10 of 11,23 of 69,8 of 11,2 of 3
W,Valter Walker,0,1 of 1,100%,3 of 3,0 of 0,---,2,0,0:09,0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,0 of 0
L,Thomas Petersen,0,0 of 1,0%,6 of 7,0 of 1,0%,0,0,0:37,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
L,Dustin Jacoby,0,34 of 93,36%,34 of 93,0 of 0,---,0,0,0:00,8 of 45,3 of 11,23 of 37,34 of 93,0 of 0,0 of 0
W,Muhammad Saidov,2,60 of 133,45%,60 of 133,0 of 0,---,0,0,0:02,41 of 105,9 of 16,10 of 12,52 of 121,4 of 7,4 of 5
L,Santiago Ponzinibbio,0,14 of 86,16%,14 of 86,0 of 1,0%,0,0,0:00,10 of 79,1 of 3,3 of 4,14 of 86,0 of 0,0 of 0
W,Sam Patterson,2,64 of 132,48%,65 of 133,0 of 0,---,0,0,0:08,58 of 118,6 of 14,0 of 0,59 of 125,0 of 0,5 of 7
L,Ismael Bonfim,0,1 of 3,33%,1 of 3,1 of 3,33%,0,0,2:03,0 of 1,0 of 0,1 of 2,1 of 3,0 of 0,0 of 0
W,Axel Sola,1,33 of 44,75%,77 of 96,0 of 0,---,1,0,2:03,31 of 42,2 of 2,0 of 0,2 of 4,25 of 25,6 of 15
W,Magomed Tuchalov,0,35 of 80,43%,57 of 110,8 of 14,57%,1,0,4:20,12 of 46,5 of 14,18 of 20,34 of 77,0 of 0,1 of 3
L,Brendson Ribeiro,0,39 of 118,33%,49 of 130,0 of 1,0%,0,0,0:08,18 of 73,4 of 11,17 of 34,37 of 115,0 of 0,2 of 3
W,Nurullo Aliev,0,13 of 34,38%,81 of 106,8 of 13,61%,1,1,12:25,12 of 30,1 of 4,0 of 0,4 of 17,1 of 4,8 of 13
L,Mike Davis,0,22 of 37,59%,55 of 71,0 of 0,---,2,0,0:36,9 of 23,11 of 12,2 of 2,9 of 23,2 of 3,11 of 11
L,Cody Gibson,0,44 of 81,54%,53 of 94,1 of 3,33%,3,0,1:16,13 of 47,25 of 28,6 of 6,22 of 55,21 of 25,1 of 1
W,Abdul Hussein,1,65 of 99,65%,91 of 133,1 of 2,50%,3,2,7:47,58 of 91,7 of 8,0 of 0,38 of 63,11 of 12,16 of 24
W,Dricus Du Plessis,0,136 of 273,49%,139 of 278,0 of 2,0%,0,0,0:06,102 of 230,24 of 30,10 of 13,132 of 267,4 of 4,0 of 2
L,Kamaru Usman,0,92 of 234,39%,99 of 244,0 of 7,0%,0,0,0:24,49 of 170,37 of 58,6 of 6,88 of 230,4 of 4,0 of 0
L,Jared Cannonier,0,15 of 46,32%,36 of 69,5 of 8,62%,0,0,6:12,7 of 36,6 of 8,2 of 2,6 of 33,8 of 12,1 of 1
W,Christian Leroy Duncan,0,68 of 117,58%,94 of 148,1 of 3,33%,0,1,2:16,37 of 85,17 of 18,14 of 14,43 of 82,25 of 34,0 of 1
W,Chase Hooper,0,3 of 7,42%,4 of 8,1 of 2,50%,1,0,1:27,2 of 6,0 of 0,1 of 1,3 of 7,0 of 0,0 of 0
L,Mitch Ramirez,0,1 of 1,100%,3 of 3,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
L,Tabatha Ricci,0,24 of 102,23%,26 of 108,1 of 8,12%,0,0,0:30,18 of 89,5 of 9,1 of 4,22 of 99,2 of 3,0 of 0
W,Fatima Kline,0,66 of 164,40%,86 of 195,7 of 9,77%,1,1,5:00,41 of 130,20 of 28,5 of 6,56 of 151,9 of 12,1 of 1
W,Tommy McMillen,2,252 of 513,49%,255 of 517,0 of 0,---,0,0,0:57,185 of 429,52 of 65,15 of 19,234 of 484,11 of 19,7 of 10
L,Alberto Montes,0,56 of 147,38%,56 of 147,0 of 0,---,0,0,0:00,48 of 134,4 of 8,4 of 5,56 of 147,0 of 0,0 of 0
L,Austin Bashi,0,32 of 87,36%,54 of 111,3 of 14,21%,1,1,3:10,23 of 74,7 of 10,2 of 3,26 of 78,4 of 7,2 of 2
W,Jose Delgado,1,35 of 85,41%,70 of 126,1 of 3,33%,0,0,1:54,22 of 70,9 of 11,4 of 4,29 of 78,5 of 6,1 of 1
W,Jean-Paul Lebosnoyani,0,52 of 152,34%,67 of 168,3 of 4,75%,2,0,2:09,35 of 125,10 of 19,7 of 8,41 of 132,11 of 20,0 of 0
L,Seokhyeon Ko,0,66 of 168,39%,80 of 186,0 of 4,0%,0,1,1:47,55 of 153,7 of 11,4 of 4,61 of 163,2 of 2,3 of 3
L,Levi Rodrigues Jr.,0,11 of 32,34%,26 of 52,0 of 0,---,0,0,0:00,7 of 27,0 of 0,4 of 5,11 of 32,0 of 0,0 of 0
W,Felipe Franco,0,39 of 56,69%,52 of 72,3 of 6,50%,0,0,3:51,38 of 55,1 of 1,0 of 0,12 of 20,0 of 0,27 of 36
W,Ezra Elliott,0,6 of 11,54%,21 of 29,12 of 18,66%,3,0,11:01,4 of 8,1 of 2,1 of 1,2 of 6,0 of 1,4 of 4
L,Damien Anderson,0,7 of 20,35%,23 of 37,0 of 2,0%,1,0,0:47,5 of 16,2 of 2,0 of 2,2 of 8,3 of 4,2 of 8
W,Alden Coria,0,44 of 127,34%,60 of 144,3 of 5,60%,4,0,2:17,35 of 118,8 of 8,1 of 1,42 of 125,1 of 1,1 of 1
L,Stewart Nicoll,0,28 of 90,31%,32 of 94,5 of 9,55%,0,0,4:17,20 of 77,4 of 7,4 of 6,28 of 90,0 of 0,0 of 0
W,RJ Harris,1,15 of 26,57%,17 of 28,0 of 0,---,0,0,0:10,12 of 23,0 of 0,3 of 3,7 of 11,0 of 0,8 of 15
L,Alvin Hines,0,11 of 25,44%,11 of 25,0 of 0,---,0,0,0:00,0 of 5,2 of 7,9 of 13,11 of 25,0 of 0,0 of 0
L,Anna Melisano,0,2 of 6,33%,6 of 10,0 of 0,---,0,0,0:00,1 of 4,0 of 1,1 of 1,2 of 6,0 of 0,0 of 0
W,Dione Barbosa,0,5 of 7,71%,22 of 29,1 of 2,50%,2,0,3:31,2 of 4,3 of 3,0 of 0,1 of 2,2 of 2,2 of 3
L,Conor McGregor,0,0 of 6,0%,5 of 11,0 of 0,---,0,0,0:00,0 of 6,0 of 0,0 of 0,0 of 5,0 of 1,0 of 0
W,Max Holloway,0,12 of 19,63%,14 of 22,0 of 0,---,0,0,0:37,8 of 15,0 of 0,4 of 4,5 of 6,0 of 0,7 of 13
L,Benoit Saint Denis,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:04,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
W,Paddy Pimblett,0,4 of 5,80%,4 of 5,0 of 0,---,1,0,0:37,2 of 3,0 of 0,2 of 2,4 of 5,0 of 0,0 of 0
L,Cory Sandhagen,0,89 of 176,50%,104 of 196,1 of 4,25%,0,0,1:13,70 of 150,9 of 16,10 of 10,73 of 154,16 of 22,0 of 0
W,Mario Bautista,1,114 of 185,61%,143 of 215,8 of 20,40%,3,0,3:21,76 of 141,20 of 24,18 of 20,82 of 145,17 of 18,15 of 22
W,Brandon Royval,0,84 of 152,55%,146 of 218,3 of 6,50%,2,0,4:53,78 of 146,4 of 4,2 of 2,55 of 117,11 of 13,18 of 22
L,Lone'er Kavanagh,1,56 of 94,59%,63 of 101,1 of 2,50%,1,0,2:09,31 of 63,17 of 19,8 of 12,34 of 61,10 of 13,12 of 20
W,King Green,1,43 of 72,59%,57 of 86,0 of 0,---,0,0,0:03,18 of 43,20 of 24,5 of 5,35 of 59,0 of 2,8 of 11
L,Terrance McKinney,0,45 of 80,56%,59 of 96,1 of 1,100%,0,0,2:12,40 of 75,5 of 5,0 of 0,25 of 58,2 of 3,18 of 19
L,Nikita Krylov,0,51 of 99,51%,57 of 106,3 of 6,50%,0,0,2:10,21 of 62,17 of 23,13 of 14,45 of 92,6 of 7,0 of 0
W,Robert Whittaker,0,54 of 111,48%,55 of 112,0 of 0,---,0,0,0:00,54 of 111,0 of 0,0 of 0,51 of 105,3 of 6,0 of 0
W,Gable Steveson,1,41 of 57,71%,41 of 57,0 of 1,0%,0,0,0:10,25 of 39,12 of 14,4 of 4,28 of 40,12 of 16,1 of 1
L,Elisha Ellison,0,13 of 33,39%,14 of 34,0 of 0,---,0,0,0:00,10 of 30,3 of 3,0 of 0,9 of 28,4 of 5,0 of 0
L,Cody Garbrandt,0,13 of 32,40%,13 of 32,0 of 1,0%,0,0,0:00,10 of 29,2 of 2,1 of 1,12 of 29,1 of 3,0 of 0
W,Adrian Yanez,1,16 of 30,53%,16 of 30,0 of 0,---,0,0,0:00,13 of 27,2 of 2,1 of 1,12 of 25,4 of 5,0 of 0
W,Luke Riley,1,43 of 67,64%,43 of 67,0 of 0,---,0,0,0:02,30 of 53,9 of 10,4 of 4,35 of 58,6 of 7,2 of 2
L,Kai Kamaka III,0,23 of 41,56%,23 of 41,0 of 0,---,0,0,0:00,9 of 23,4 of 5,10 of 13,23 of 41,0 of 0,0 of 0
L,Tracy Cortez,0,72 of 156,46%,74 of 158,1 of 9,11%,0,0,0:31,48 of 127,12 of 17,12 of 12,66 of 149,6 of 7,0 of 0
W,Wang Cong,0,137 of 215,63%,153 of 231,0 of 0,---,0,0,1:22,77 of 140,28 of 33,32 of 42,126 of 199,6 of 8,5 of 8
W,Damian Pinas,1,25 of 33,75%,28 of 37,0 of 1,0%,0,0,0:03,12 of 20,5 of 5,8 of 8,24 of 32,0 of 0,1 of 1
L,Cesar Almeida,0,37 of 50,74%,39 of 52,1 of 1,100%,0,0,0:33,8 of 16,15 of 20,14 of 14,37 of 50,0 of 0,0 of 0
W,Farid Basharat,0,86 of 134,64%,95 of 145,5 of 22,22%,0,0,4:02,65 of 109,6 of 9,15 of 16,68 of 107,5 of 7,13 of 20
L,John Garza,0,82 of 187,43%,92 of 197,0 of 0,---,0,1,0:13,55 of 151,27 of 33,0 of 3,66 of 165,16 of 21,0 of 1
W,Ryan Gandra,1,10 of 20,50%,10 of 20,0 of 0,---,0,0,0:05,8 of 16,2 of 4,0 of 0,5 of 13,0 of 0,5 of 7
L,Zach Reese,0,5 of 10,50%,5 of 10,0 of 0,---,0,0,0:00,3 of 8,1 of 1,1 of 1,5 of 10,0 of 0,0 of 0
W,Alessandro Costa,0,21 of 49,42%,25 of 53,0 of 0,---,2,0,1:01,15 of 36,4 of 7,2 of 6,19 of 45,0 of 1,2 of 3
L,Cody Durden,0,28 of 73,38%,30 of 75,0 of 2,0%,0,0,0:12,21 of 66,2 of 2,5 of 5,27 of 71,1 of 2,0 of 0
W,Rafael Fiziev,1,25 of 39,64%,28 of 43,2 of 2,100%,0,0,0:42,13 of 21,2 of 4,10 of 14,16 of 27,3 of 5,6 of 7
L,Manuel Torres,0,22 of 52,42%,26 of 56,0 of 0,---,0,0,0:06,16 of 45,4 of 5,2 of 2,20 of 48,2 of 4,0 of 0
W,Shara Magomedov,0,52 of 85,61%,112 of 165,0 of 0,---,0,1,0:53,16 of 39,18 of 24,18 of 22,44 of 75,5 of 6,3 of 4
L,Michel Pereira,1,35 of 82,42%,61 of 113,0 of 2,0%,0,0,4:04,21 of 55,9 of 16,5 of 11,19 of 54,1 of 1,15 of 27
L,Nazim Sadykhov,0,0 of 16,0%,0 of 16,0 of 0,---,0,0,0:00,0 of 10,0 of 1,0 of 5,0 of 16,0 of 0,0 of 0
W,Matheus Camilo,1,4 of 10,40%,4 of 10,0 of 0,---,0,0,0:03,3 of 8,0 of 0,1 of 2,2 of 6,0 of 0,2 of 4
W,Asu Almabayev,0,28 of 51,54%,73 of 102,6 of 9,66%,1,0,8:48,15 of 34,7 of 10,6 of 7,18 of 37,1 of 1,9 of 13
L,Charles Johnson,0,21 of 45,46%,32 of 57,0 of 0,---,1,0,0:00,5 of 19,8 of 14,8 of 12,18 of 41,3 of 4,0 of 0
W,Ikram Aliskerov,0,47 of 98,47%,114 of 179,5 of 6,83%,1,0,8:53,32 of 80,9 of 12,6 of 6,36 of 84,0 of 1,11 of 13
L,Brunno Ferreira,0,19 of 55,34%,23 of 61,0 of 1,0%,0,0,0:07,13 of 48,3 of 4,3 of 3,19 of 55,0 of 0,0 of 0
W,Abus Magomedov,1,10 of 27,37%,10 of 27,0 of 0,---,1,0,0:36,5 of 20,4 of 5,1 of 2,9 of 25,1 of 1,0 of 1
L,Michal Oleksiejczuk,0,5 of 19,26%,5 of 19,0 of 0,---,0,0,0:03,1 of 12,2 of 4,2 of 3,5 of 19,0 of 0,0 of 0
W,Farman Hasanov,0,21 of 41,51%,53 of 87,17 of 27,62%,0,0,11:12,20 of 39,1 of 2,0 of 0,19 of 37,0 of 0,2 of 4
L,Eric Nolan,0,15 of 51,29%,29 of 67,0 of 0,---,0,0,0:03,14 of 50,1 of 1,0 of 0,15 of 51,0 of 0,0 of 0
W,Abdul Rakhman Yakhyaev,1,6 of 8,75%,6 of 8,0 of 0,---,0,0,0:03,6 of 8,0 of 0,0 of 0,1 of 1,0 of 0,5 of 7
L,Julius Walker,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
W,Nursulton Ruziboev,0,1 of 3,33%,13 of 18,2 of 2,100%,1,0,2:28,0 of 1,1 of 2,0 of 0,1 of 3,0 of 0,0 of 0
L,Andrey Pulyaev,0,2 of 6,33%,15 of 23,0 of 0,---,0,0,0:00,0 of 4,2 of 2,0 of 0,2 of 6,0 of 0,0 of 0
W,Kaan Ofli,1,17 of 26,65%,42 of 53,0 of 0,---,1,0,0:32,9 of 17,4 of 5,4 of 4,13 of 21,0 of 0,4 of 5
